series,endpoint,workload,offered_load_vus,throughput_rps,p50_ms,p95_ms,p99_ms,max_ms,error_rate_pct,notes
H,/health,cold_start,1,,,,32250,32250,0,first request after >15min idle (wall time)
H,/health,control,1,13.9,69.71,80.94,99.32,115.35,0,warm; no DB; ~10s stage
H,/health,control,4,55.7,69.18,77.91,120.55,139.26,0,warm; no DB; ~10s stage
H,/health,control,8,114.4,67.33,77.14,109.51,160.45,0,warm; no DB; ~10s stage
H,/health,control,16,224.1,68.74,78.40,99.14,149.07,0,warm; no DB; ~10s stage
H,/api/products,read,1,3.07,281,376,410,430,0,warm; DB read; 10s warmup+60s measured; resp ~500B
H,/api/products,read,4,12.5,271,315,415,444,0,warm; DB read; 10s warmup+60s measured; resp ~500B
H,/api/products,read,8,27.5,226,308,829,1660,0,warm; DB read; 10s warmup+60s measured; resp ~500B
H,/api/products,read,16,49.8,259,352,587,802,0,warm; DB read; knee region; resp ~500B
H,/api/products,read,32,49.0,556,700,853,1180,0,warm; DB read; throughput plateau (saturation)
H,/api/products,read_repeat,16,49.5,259,354,592,805,0,repeat of 16 VUs; agrees with first run
H,/api/cart,write,8,9.6,708,916,1020,1050,0,warm; PUT update qty; auth Bearer; 10s+60s
H,/api/cart,write,16,15.8,853,1110,1200,1510,0,warm; PUT update qty; auth Bearer; 10s+60s
H,mixed,mix_80_20,16,35.2,294,898,999,1390,0,80% read /20% write; constant 16 VUs
