label,env_note,concurrency,duration_s,attempts,successes,errors,rps_success,p50_ms,p95_ms,p99_ms,max_ms,error_rate
L-health-c2,http://127.0.0.1:8000,2,60.002,12084,12084,0,201.393,13.64,20.53,27.14,106.01,0.0
L-read-c1,http://127.0.0.1:8000,1,60.133,155,155,0,2.578,386.08,406.19,445.22,487.93,0.0
L-read-c4,http://127.0.0.1:8000,4,60.296,620,620,0,10.283,385.28,402.95,518.39,854.98,0.0
L-read-c8,http://127.0.0.1:8000,8,60.245,1226,1226,0,20.35,379.43,405.71,845.95,1235.66,0.0
L-read-c16,http://127.0.0.1:8000,16,60.461,1976,1976,0,32.682,467.35,595.38,770.59,914.34,0.0
L-read-c32,http://127.0.0.1:8000,32,61.012,1993,1993,0,32.666,951.53,1130.84,1260.84,1856.03,0.0
L-read-c16-repeat,http://127.0.0.1:8000,16,60.518,1983,1983,0,32.767,472.77,560.95,706.88,961.95,0.0
L-write-c16,http://127.0.0.1:8000,16,60.369,2452,0,2452,0.0,386.95,421.2,475.82,873.31,1.0
prep-L-write-body-check,http://127.0.0.1:8000,1,2.421,2,2,0,0.826,1209.78,1210.77,1210.85,1210.87,0.0
L-write-c16-valid,http://127.0.0.1:8000,16,61.401,660,660,0,10.749,1405.19,1754.66,2211.65,2662.87,0.0
L-mix-c16,http://127.0.0.1:8000,16,61.226,1417,1417,0,23.144,485.71,1387.91,1543.53,1825.82,0.0
